Matrícula	Nombre	U1	U2	U3	U4
1930773	Jose Manuel Buenaventura Barriga Soria	96	93	93	100
1930933	Javiera Parejo Cárdenas	68	85	84	73
1930983	Constanza Colom Martínez	94	100	82	83
1930713	Patricio Almagro Ribas	85	84	62	97
1930410	Raimundo Vergara Salamanca	79	77	61	67
1930153	Íñigo Tomé Alcolea	79	73	65	64
1930159	Luís del Blanch	94	68	71	100
1930637	Edgardo del Pizarro	96	100	78	88
1930168	Victor Donoso Nogués	77	82	91	68
1930540	Víctor Evaristo Ponce Torralba	76	88	84	80
1930305	Máximo Busquets Goñi	88	96	94	96
1930811	Roque Soto Valls	71	69	65	89
1930280	Lidia Jerez Diéguez	73	78	75	65
1930104	Toni Marcial Baena Prado	72	76	98	62
1930585	Aroa Rozas	80	84	100	96
1930887	Feliciana Almeida Simó	92	82	83	79
1930327	Jose Francisco Tomas Aguilar	68	65	92	86
1930278	Luisa Loida Jáuregui Murillo	75	92	72	72
1930852	Matías Estevez Iborra	73	65	73	65
1930484	Juan Antonio Vilalta Ortega	100	80	86	70
1930705	Chita Palomares Bertrán	62	81	72	80
1930745	Cintia Febe Llorente Tejera	78	84	82	86
1930232	Gabino Aragón Corbacho	92	63	85	72
1930974	Víctor Izaguirre Borrego	93	84	82	85
1930216	Tadeo Jimenez Llabrés	66	96	88	86
1930481	Leonel Palomino Oliva	62	97	79	81
1930881	Patricia Ramos Pla	75	76	61	62
1930750	Severiano Burgos Guerra	75	64	62	100
1930623	Florinda del Montoya	60	76	62	82
1930952	Maite Vélez Luz	91	74	60	80
1930657	Juana Rosenda Costa Canet	72	68	90	81
1930354	Salud Zorrilla Revilla	70	85	91	62
1930841	Julio César Bou Barrena	74	62	66	66
1930962	Anselmo Trinidad Hervás Samper	89	83	69	93
1930398	Ruperta Arcos Milla	86	72	92	61
